Date	Type 	Price
		
1999	GT-R (Series 1)	"¥4,998,000"
 	V-Spec	"¥5,598,000"
  	V-Spec N1	"¥5,998,000"
   	Midnight Purple II GT-R	"¥5,147,000"
    	Midnight Purple II V-Spec	"¥5,748,000"
2000 - 2001	Midnight Purple III GT-R	"¥5,148,000"
     	Midnight Purple III V-Spec	"¥5,748,000"
2000 - 2008	GT-R (Series 2)	"¥5,048,000"
      	V-Spec II	"¥5,748,000"
       	V-Spec II N1	"¥6,098,000"
2001 - 2005	M-Spec	"¥5,950,000"
2002 - 2002	V-Spec II Nur	"¥6,100,000"
        	M-Spec Nur	"¥6,300,000"
