Series	326	732	2M8	AH3	BL0	KG1	KH2	KL0	TH1	Unknown	Total
GT-R (Series 1)	8	2778	-	558	-	1595	11720	-	624	33	17283
GT-R (Australia)	-	30	-	45	-	25	-	-	-	-	100
GT-R Nismo	-	-	-	-	-	-	560	-	-	-	560
GT-R (Series 2)	1890	1547	9	759	107	-	4786	1720	362	-	11180
GT-R N1	118	-	-	-	-	-	-	-	-	-	118
Unknown (Series 2)	-	-	-	-	-	-	-	-	7	7	14
GT-R (Series 3)	4948	1077	5	884	22	-	2197	2575	118	-	11826
V-Spec	387	131	-	67	12	-	303	455	41	-	1396
V-Spec N1	64	-	-	-	-	-	-	-	-	-	64
V-Spec II	577	104	-	51	-	-	163	411	-	-	1306
V-Spec II N1	63	-	-	-	-	-	-	-	-	-	63
Unknown (Series 3)	-	-	-	-	-	-	-	-	1	1	2
Total 	8055	5667	14	2364	141	1620	19729	5161	1145	41	43937
